Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
20,5,18,   0, 37, 63,  0,21,5,27,   0,0.747,  0.10,  0.28,  0.32,0.746,0,  2.89,0,0,0.253,0,  5
21,5,27,   0, 27, 73,  0,22,5,31,   0,0.760,  0.11,  0.28,  0.33,0.467,0,  3.00,0,0,0.240,0,  5
22,5,31,   0, 29, 71,  0,23,5,35,   0,0.771,  0.11,  0.28,  0.33,0.433,0,  3.11,0,0,0.229,0,  5
23,5,35,   0, 25, 75,  0,24,5,37,   0,0.775,  0.11,  0.28,  0.33,0.850,0,  3.22,0,0,0.225,0,  5
24,5,37,   0, 20, 80,  0,25,5,37,   0,0.771,  0.11,  0.27,  0.33,0.972,0,  3.33,0,0,0.229,0,  5
25,5,37,   0, 20, 80,  0,26,6,37,-300,0.232,  0.11,  0.00,  0.11,0.227,1,  3.44,0,0,0.232,0,  5
26,6,37,-300,  0,  0,  0,27,6,30,-200,0.684,  0.00,  0.00,  0.00,0.648,0,  3.44,0,0,0.316,1,  5
27,6,30,-200,  0,  0,  0,28,6,24,-100,0.644,  0.00,  0.00,  0.00,0.488,0,  3.44,0,0,0.356,1,  5
28,6,24,-100,  0,  0,  0,29,6,19,-300,0.397,  0.00,  0.00,  0.00,0.039,1,  3.44,0,0,0.397,1,  5
29,6,19,-300,  0,  0,  0,30,6,15,-200,0.561,  0.00,  0.00,  0.00,0.989,0,  3.44,0,0,0.439,1,  5
30,6,15,-200,  0,  0,  0,31,6,12,-400,0.477,  0.00,  0.00,  0.00,0.012,1,  3.44,0,0,0.477,1,  5
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.911,0,  0.63,1,0,0.106,0,  6
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.63,  2.73,0.248,0,  1.26,1,0,0.115,0,  6
 3,0,14,   0,  0, 65, 35, 4,0,11,   0,0.873,  0.62,  2.59,  2.69,0.890,0,  1.88,1,0,0.127,0,  6
 4,0,11,   0,  0, 61, 39, 5,0, 9,   0,0.864,  0.60,  2.55,  2.64,0.759,0,  2.48,1,0,0.136,0,  6
 5,0, 9,   0, 38, 62,  0, 6,0,20,   0,0.891,  0.61,  2.64,  2.72,0.653,0,  3.09,0,0,0.109,0,  6
 6,0,20,   0,  2, 65, 33, 7,0,17,   0,0.882,  0.62,  2.58,  2.69,0.494,0,  3.71,1,0,0.118,0,  6
 7,0,17,   0,  1, 63, 36, 8,0,14,   0,0.870,  0.61,  2.53,  2.64,0.965,0,  4.32,1,0,0.130,0,  6
 8,0,14,   0, 32, 68,  0, 9,0,22,   0,0.888,  0.63,  2.59,  2.70,0.531,0,  4.95,0,0,0.112,0,  6
 9,0,22,   0,  0, 66, 34,10,0,18,   0,0.875,  0.62,  2.53,  2.64,0.349,0,  5.57,1,0,0.125,0,  6
10,0,18,   0,  1, 61, 38,11,0,15,   0,0.864,  0.60,  2.47,  2.58,0.664,0,  6.17,1,0,0.136,0,  6
11,0,15,   0,  0, 58, 42,12,1,12,   0,0.149,  0.59,  1.93,  2.14,0.054,1,  6.76,1,1,0.149,0,  6
12,1,12,   0, 37, 63,  0,13,1,22,   0,0.864,  0.51,  1.99,  2.10,0.605,0,  7.27,0,0,0.136,0,  6
