Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
24,1,20,   0, 50, 48,  0,25,1,33,   2,0.851,  0.54,  2.49,  2.78,0.703,0, 13.49,0,0,0.149,0,  3
25,1,33,   2,  0, 53, 46,26,1,27,   3,0.831,  0.56,  2.18,  2.53,0.686,0, 14.05,1,0,0.169,0,  3
26,1,27,   3,  0, 48, 52,27,1,22,   3,0.810,  0.54,  1.86,  2.21,0.632,0, 14.59,1,0,0.190,0,  3
27,1,22,   3,  0, 45, 58,28,1,18,   0,0.789,  0.52,  1.51,  1.88,0.763,0, 15.11,1,0,0.211,0,  3
28,1,18,   0, 10, 90,  0,29,2,18,-300,0.217,  0.68,  0.00,  0.68,0.143,1, 15.79,0,0,0.217,0,  3
29,2,18,-300,  0,  0,  0,30,2,14,-200,0.738,  0.00,  0.00,  0.00,0.954,0, 15.79,0,0,0.262,0,  3
30,2,14,-200,  0,  0,  0,31,3,11,-400,0.288,  0.00,  0.00,  0.00,0.068,1, 15.79,0,0,0.288,0,  3
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.868,0,  0.60,1,0,0.099,0,  4
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.873,0,  1.20,1,0,0.102,0,  4
 3,0,20,   0, 14, 55, 31, 4,0,21,   0,0.898,  0.58,  4.94,  5.02,0.849,0,  1.78,1,0,0.102,0,  4
 4,0,21,   0, 15, 54, 31, 5,0,22,   0,0.898,  0.57,  4.89,  4.98,0.856,0,  2.35,1,0,0.102,0,  4
 5,0,22,   0, 12, 57, 31, 6,0,22,   0,0.895,  0.59,  4.83,  4.93,0.727,0,  2.94,1,0,0.105,0,  4
 6,0,22,   0, 12, 55, 32, 7,0,22,   1,0.893,  0.58,  4.77,  4.87,0.548,0,  3.52,1,0,0.107,0,  4
 7,0,22,   1, 18, 50, 33, 8,0,24,   0,0.894,  0.56,  4.73,  4.81,0.355,0,  4.08,1,0,0.106,0,  4
 8,0,24,   0, 13, 55, 32, 9,0,24,   0,0.892,  0.58,  4.65,  4.76,0.705,0,  4.66,1,0,0.108,0,  4
 9,0,24,   0, 13, 54, 33,10,0,24,   0,0.889,  0.57,  4.57,  4.69,0.865,0,  5.23,1,0,0.111,0,  4
10,0,24,   0, 13, 53, 34,11,1,24,   0,0.113,  0.57,  4.11,  4.27,0.027,1,  5.80,1,1,0.113,0,  4
11,1,24,   0, 13, 49, 38,12,1,24,   0,0.872,  0.54,  4.04,  4.17,0.128,0,  6.34,1,0,0.128,0,  4
12,1,24,   0, 13, 48, 39,13,1,24,   0,0.869,  0.54,  3.96,  4.10,0.854,0,  6.88,1,0,0.131,0,  4
13,1,24,   0, 13, 47, 40,14,2,24,   0,0.134,  0.53,  3.37,  3.56,0.033,1,  7.41,1,1,0.134,0,  4
14,2,24,   0, 55, 45,  0,15,2,38,   0,0.879,  0.49,  3.48,  3.62,0.531,0,  7.90,0,0,0.121,0,  4
15,2,38,   0,  6, 57, 37,16,2,33,   0,0.867,  0.55,  3.34,  3.55,0.731,0,  8.45,1,0,0.133,0,  4
16,2,33,   0,  6, 53, 41,17,2,29,   0,0.854,  0.53,  3.20,  3.41,0.735,0,  8.98,1,0,0.146,0,  4
17,2,29,   0,  1, 52, 45,18,2,24,   2,0.838,  0.53,  3.07,  3.29,0.741,0,  9.51,1,0,0.162,0,  4
18,2,24,   2, 55, 47,  0,19,2,38,   0,0.868,  0.50,  3.14,  3.33,0.734,0, 10.01,0,0,0.132,0,  4
19,2,38,   0,  6, 54, 40,20,2,33,   0,0.855,  0.53,  2.97,  3.21,0.721,0, 10.54,1,0,0.145,0,  4
20,2,33,   0,  0, 55, 45,21,2,27,   0,0.836,  0.54,  2.78,  3.04,0.345,0, 11.08,1,0,0.164,0,  4
21,2,27,   0,  0, 50, 50,22,2,22,   0,0.816,  0.52,  2.59,  2.85,0.429,0, 11.60,1,0,0.184,0,  4
22,2,22,   0, 51, 48,  0,23,2,35,   1,0.849,  0.51,  2.61,  2.86,0.223,0, 12.11,0,0,0.151,0,  4
