Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
11,1, 9,   0, 11, 49, 10,12,2,11,   0,0.168,  0.46,  2.24,  2.47,0.128,1,  6.32,1,1,0.168,0,  4
12,2,11,   0, 15, 45, 10,13,2,14,   0,0.820,  0.35,  2.24,  2.37,0.854,0,  6.67,1,0,0.180,0,  4
13,2,14,   0, 14, 46, 10,14,3,16,   0,0.175,  0.36,  1.44,  1.65,0.033,1,  7.03,1,1,0.175,0,  4
14,3,16,   0, 15, 45, 10,15,3,18,   0,0.804,  0.26,  1.44,  1.56,0.531,0,  7.29,1,0,0.196,0,  4
15,3,18,   0, 16, 44, 10,16,3,20,   0,0.808,  0.26,  1.43,  1.55,0.731,0,  7.55,1,0,0.192,0,  4
16,3,20,   0, 11, 49, 10,17,3,20,   0,0.805,  0.28,  1.42,  1.55,0.735,0,  7.83,1,0,0.195,0,  4
17,3,20,   0, 11, 49, 10,18,3,20,   0,0.801,  0.28,  1.40,  1.53,0.741,0,  8.11,1,0,0.199,0,  4
18,3,20,   0, 11, 49, 10,19,3,20,   0,0.797,  0.28,  1.37,  1.51,0.734,0,  8.39,1,0,0.203,0,  4
19,3,20,   0, 11, 49, 10,20,3,20,   0,0.793,  0.28,  1.35,  1.49,0.721,0,  8.67,1,0,0.207,0,  4
20,3,20,   0, 11, 49, 10,21,3,20,   0,0.789,  0.28,  1.31,  1.46,0.345,0,  8.95,1,0,0.211,0,  4
21,3,20,   0, 11, 49, 10,22,3,20,   0,0.785,  0.28,  1.28,  1.43,0.429,0,  9.23,1,0,0.215,0,  4
22,3,20,   0, 11, 49, 10,23,3,20,   0,0.781,  0.28,  1.23,  1.39,0.223,0,  9.51,1,0,0.219,0,  4
23,3,20,   0,  5, 55, 10,24,3,18,   0,0.767,  0.29,  1.17,  1.34,0.476,0,  9.80,1,0,0.233,0,  4
24,3,18,   0,  4, 56, 10,25,3,16,   0,0.752,  0.29,  1.09,  1.28,0.892,0, 10.09,1,0,0.248,0,  4
25,3,16,   0,  3, 57, 10,26,3,14,   0,0.735,  0.29,  1.00,  1.19,0.886,0, 10.38,1,0,0.265,0,  4
26,3,14,   0,  2, 58, 10,27,4,12,   0,0.284,  0.30,  0.52,  0.77,0.206,1, 10.68,1,1,0.284,0,  4
27,4,12,   0,  1, 59, 10,28,5,10,   0,0.345,  0.20,  0.19,  0.37,0.342,1, 10.88,1,1,0.345,0,  4
28,5,10,   0,  9, 61,  0,29,6,11,-300,0.399,  0.10,  0.00,  0.10,0.151,1, 10.98,0,0,0.399,0,  4
29,6,11,-300,  0,  0,  0,30,6, 9,-450,0.506,  0.00,  0.00,  0.00,0.303,1, 10.98,0,0,0.506,1,  4
30,6, 9,-450,  0,  0,  0,31,6, 7,-380,0.459,  0.00,  0.00,  0.00,0.558,0, 10.98,0,0,0.541,1,  4
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.205,0,  0.59,1,0,0.106,0,  5
 2,0,17,   0,  1, 59, 10, 3,1,14,   0,0.115,  0.60,  3.39,  3.65,0.108,1,  1.19,1,1,0.115,0,  5
 3,1,14,   0,  2, 58, 10, 4,2,12,   0,0.138,  0.49,  2.40,  2.66,0.030,1,  1.68,1,1,0.138,0,  5
 4,2,12,   0, 13, 47, 10, 5,3,14,   0,0.154,  0.36,  1.55,  1.75,0.125,1,  2.04,1,1,0.154,0,  5
 5,3,14,   0, 14, 46, 10, 6,3,16,   0,0.824,  0.27,  1.55,  1.66,0.216,0,  2.31,1,0,0.176,0,  5
 6,3,16,   0, 15, 45, 10, 7,3,18,   0,0.829,  0.26,  1.55,  1.66,0.347,0,  2.57,1,0,0.171,0,  5
 7,3,18,   0, 16, 44, 10, 8,4,20,   0,0.167,  0.26,  0.83,  1.01,0.084,1,  2.83,1,1,0.167,0,  5
 8,4,20,   0, 17, 43, 10, 9,4,22,   0,0.805,  0.17,  0.83,  0.92,0.937,0,  3.00,1,0,0.195,0,  5
 9,4,22,   0, 12, 48, 10,10,4,22,   0,0.802,  0.18,  0.83,  0.93,0.307,0,  3.18,1,0,0.198,0,  5
10,4,22,   0, 12, 48, 10,11,4,22,   0,0.800,  0.18,  0.82,  0.92,0.565,0,  3.36,1,0,0.200,0,  5
11,4,22,   0, 12, 48, 10,12,4,22,   0,0.797,  0.18,  0.81,  0.91,0.577,0,  3.54,1,0,0.203,0,  5
12,4,22,   0, 12, 48, 10,13,4,22,   0,0.794,  0.18,  0.80,  0.91,0.338,0,  3.72,1,0,0.206,0,  5
13,4,22,   0, 12, 48, 10,14,4,22,   0,0.791,  0.18,  0.80,  0.90,0.790,0,  3.90,1,0,0.209,0,  5
14,4,22,   0, 12, 48, 10,15,4,22,   0,0.787,  0.18,  0.79,  0.89,0.743,0,  4.08,1,0,0.213,0,  5
